Neighborhood,Public Transit Scores,Driving Scores,Biking/Walking Scores,Transportation Scores
Bloomfield,86.89655172,181.6073384087465,250.1666666474231,518.6705567761696
Friendship,123.827586201,117.26826754829897,211.34722220596475,452.4430759552637
Lower Lawrenceville,79.0758620652,107.40337144391364,264.23611109078524,450.7153445998989
North Oakland,49.965517239,128.447110439857,266.41666664617304,444.82929432503005
Shadyside,116.87586206339999,233.06658984624698,94.73611110382372,444.6785630134707
Arlington Heights,386.25517239540005,28.215480423937787,0.0,414.47065281933783
Central Oakland,57.786206893800006,129.5160663519712,216.66666665,403.9689398957712
Northview Heights,336.28965515640004,42.805699104237696,19.79166666514423,398.887020925782
Bluff,100.36551723660001,144.95118946035745,149.65277776626604,394.96948446322347
West Oakland,96.0206896506,147.289421458779,141.66666665576923,384.97677776514826
East Allegheny,99.49655171939999,205.84712645566668,73.22222221658974,378.5659003916564
Central Northside,85.5931034442,167.08272982034262,120.62499999072115,373.3008332552638
Spring Hill-City View,64.3034482728,108.58086319953668,197.27777776260257,370.16208923493923
Terrace Village,196.38620688720002,58.287237862741875,108.333333325,363.0067780749419
Squirrel Hill North,48.2275862046,172.54930683874184,136.8472222116955,357.62411525503734
Central Business District,91.67586206460001,115.17781834374001,145.83333332211538,352.6870137304554
Middle Hill,209.8551724038,127.02253387007242,14.236111110016024,351.11381738388843
South Oakland,60.827586204,174.45793233118476,104.86111110304486,340.1466296382296
St. Clair,238.96551723000002,63.19229021166946,34.72222221955128,336.88002966122076
Manchester,181.17931033620002,114.60163610054687,40.277777774679485,336.05872421142635
California-Kirkbride,178.137931026,108.18196780040297,47.569444440785254,333.8893432671882
Garfield,118.1793103392,118.57104666025533,93.44444443725641,330.1948014367117
Homewood South,148.1586206826,155.17659208032032,14.930555554407052,318.2657683173274
Beltzhoover,187.26206895660002,128.9245285553556,0.0,316.1865975119556
Spring Garden,29.110344826200002,93.39875773277065,193.62499998510577,316.1341025440764
South Side Flats,67.7793103416,139.7948644190622,107.45833332506731,315.03250808572955
